TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612766,"[202330, 203486, 1626179, 1628970, 1628998]",1610612752,"[202692, 203095, 203944, 1629011, 1629628]",1
1610612766,"[202330, 202397, 1628998, 1629023, 1629667]",1610612752,"[201959, 1629628, 1629656, 1630167, 1630193]",2
1610612766,"[202330, 203486, 1626179, 1628970, 1628998]",1610612752,"[202692, 203095, 203944, 1629011, 1629628]",3
1610612766,"[202330, 202397, 203486, 1628998, 1629667]",1610612752,"[201959, 1629628, 1629656, 1630167, 1630193]",4
