TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612748,"[200768, 202693, 1628389, 1628997, 1629622]",1610612761,"[203920, 1627783, 1627832, 1629018, 1630567]",1
1610612748,"[203506, 1628997, 1629130, 1629639, 1630209]",1610612761,"[1627783, 1628449, 1629018, 1630173, 1630567]",2
1610612748,"[200768, 202693, 1628389, 1628997, 1629622]",1610612761,"[203920, 1627783, 1627832, 1629018, 1630567]",3
1610612748,"[203506, 1628997, 1629130, 1629639, 1630209]",1610612761,"[201152, 1627783, 1629018, 1630173, 1630567]",4
