TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612754,"[204456, 1627741, 1629052, 1630169, 1630543]",1610612755,"[201935, 201980, 202699, 203954, 1630178]",1
1610612754,"[202362, 204456, 1628221, 1629052, 1630543]",1610612755,"[202699, 1629003, 1629680, 1630178, 1630194]",2
1610612754,"[204456, 1627741, 1629052, 1630169, 1630543]",1610612755,"[201935, 201980, 202699, 203954, 1630178]",3
1610612754,"[202362, 1630169, 1630543, 1630613, 1630678]",1610612755,"[1629003, 1629680, 1630178, 1630194, 1630198]",4
