TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612762,"[201144, 203497, 1626220, 1627823, 1628378]",1610612751,"[201142, 201609, 203552, 1628971, 1629651]",1
1610612762,"[200752, 201144, 203497, 203903, 1627823]",1610612751,"[201609, 201933, 201949, 201988, 1630560]",2
1610612762,"[201144, 203497, 1626220, 1627823, 1628378]",1610612751,"[201142, 201609, 1628971, 1629651, 1630556]",3
1610612762,"[200752, 201144, 203497, 203903, 1630215]",1610612751,"[201609, 201933, 201949, 201988, 1630560]",4
