TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612764,"[203078, 203484, 203915, 1628398, 1629655]",1610612751,"[201142, 201933, 201935, 203925, 1628971]",1
1610612764,"[202722, 203484, 203915, 1626149, 1628988]",1610612751,"[200794, 201935, 203925, 1628975, 1629651]",2
1610612764,"[203078, 203484, 203915, 1628398, 1629655]",1610612751,"[201142, 201933, 201935, 203925, 1628971]",3
1610612764,"[202722, 203484, 203915, 1626149, 1628988]",1610612751,"[200794, 201142, 203925, 1627761, 1628975]",4
