TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612766,"[203486, 1626179, 1628970, 1628998, 1630163]",1610612761,"[1627783, 1628384, 1628449, 1629018, 1630173]",1
1610612766,"[203486, 1626162, 1628998, 1630163, 1630547]",1610612761,"[1628384, 1628449, 1629018, 1629139, 1630201]",2
1610612766,"[203486, 1626179, 1628970, 1628998, 1630163]",1610612761,"[1627783, 1628384, 1628449, 1629018, 1630173]",3
1610612766,"[203486, 1626162, 1628998, 1630163, 1630547]",1610612761,"[1627783, 1628384, 1628449, 1629139, 1630201]",4
