TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612751,"[201142, 201933, 201935, 203925, 1628971]",1610612741,"[201942, 202696, 203897, 1628366, 1629750]",1
1610612751,"[200746, 200794, 201935, 201988, 1628975]",1610612741,"[201942, 202696, 1627884, 1627936, 1630245]",2
1610612751,"[201142, 201933, 201935, 203925, 1628971]",1610612741,"[201942, 202696, 203897, 1628366, 1629750]",3
1610612751,"[200746, 201988, 203925, 1627761, 1628971]",1610612741,"[201942, 1627884, 1627936, 1628396, 1630245]",4
