"team1player1","team1player2","team1player3","team1player4","team1player5","team2player1","team2player2","team2player3","team2player4","team2player5","team1_points","team2_points","turnovers","timeofpos"
"Aaron Holiday","Anthony Gill","Bradley Beal","Kentavious Caldwell-Pope","Spencer Dinwiddie","Trey Lyles","Killian Hayes","Saddiq Bey","Cade Cunningham","Jerami Grant",0,0,0,0
"Aaron Holiday","Anthony Gill","Corey Kispert","Bradley Beal","Kentavious Caldwell-Pope","Cameron Payne","Landry Shamet","Cameron Johnson","Jalen Smith","Elfrid Payton",0,4,0,14
"Aaron Holiday","Daniel Gafford","Davis Bertans","Bradley Beal","Kentavious Caldwell-Pope","Monte Morris","Davon Reed","Facundo Campazzo","Jeff Green","Aaron Gordon",14,6,0,66
"Aaron Holiday","Daniel Gafford","Davis Bertans","Bradley Beal","Kentavious Caldwell-Pope","Monte Morris","Facundo Campazzo","Bones Hyland","Jeff Green","Aaron Gordon",5,2,0,9
"Aaron Holiday","Daniel Gafford","Davis Bertans","Bradley Beal","Kentavious Caldwell-Pope","Monte Morris","Zeke Nnaji","Facundo Campazzo","Jeff Green","Aaron Gordon",0,2,0,0
"Aaron Holiday","Daniel Gafford","Davis Bertans","Kentavious Caldwell-Pope","Spencer Dinwiddie","O.G. Anunoby","Svi Mykhailiuk","Gary Trent Jr.","Precious Achiuwa","Goran Dragic",2,5,0,0
"Aaron Holiday","Daniel Gafford","Deni Avdija","Anthony Gill","Spencer Dinwiddie","Jericho Sims","Kemba Walker","Alec Burks","Evan Fournier","Julius Randle",0,0,0,0
"Aaron Holiday","Daniel Gafford","Deni Avdija","Corey Kispert","Bradley Beal","Vlatko Cancar","Zeke Nnaji","Markus Howard","Facundo Campazzo","Bones Hyland",2,0,0,25
"Aaron Holiday","Daniel Gafford","Deni Avdija","Corey Kispert","Spencer Dinwiddie","Damyean Dotson","Mitchell Robinson","Kemba Walker","Alec Burks","Julius Randle",2,3,0,15
"Aaron Holiday","Daniel Gafford","Deni Avdija","Corey Kispert","Spencer Dinwiddie","Jericho Sims","Kemba Walker","Alec Burks","Evan Fournier","Julius Randle",2,0,0,0
"Aaron Holiday","Daniel Gafford","Deni Avdija","Davis Bertans","Bradley Beal","Maurice Harkless","Alex Len","De'Aaron Fox","Chimezie Metu","Tyrese Haliburton",0,0,0,0
"Aaron Holiday","Daniel Gafford","Deni Avdija","Davis Bertans","Bradley Beal","Tyrese Haliburton","Davion Mitchell","Tristan Thompson","Harrison Barnes","Maurice Harkless",2,2,0,4
"Aaron Holiday","Daniel Gafford","Deni Avdija","Davis Bertans","Raul Neto","Shai Gilgeous-Alexander","Kenrich Williams","Aleksej Pokusevski","Tre Mann","Derrick Favors",3,0,0,12
"Aaron Holiday","Daniel Gafford","Deni Avdija","Davis Bertans","Spencer Dinwiddie","Chris Boucher","Svi Mykhailiuk","Yuta Watanabe","Scottie Barnes","Dalano Banton",4,8,0,52
"Aaron Holiday","Daniel Gafford","Deni Avdija","Isaiah Todd","Corey Kispert","Bruce Brown","Kevin Durant","James Harden","Patty Mills","Joe Harris",2,2,0,0
"Aaron Holiday","Daniel Gafford","Deni Avdija","Isaiah Todd","Corey Kispert","DeAndre' Bembry","Bruce Brown","Jevon Carter","Day'Ron Sharpe","Cam Thomas",1,0,0,6
"Aaron Holiday","Deni Avdija","Anthony Gill","Corey Kispert","Raul Neto","Domantas Sabonis","Caris LeVert","Malcolm Brogdon","Kelan Martin","Brad Wanamaker",2,0,0,0
"Aaron Holiday","Deni Avdija","Anthony Gill","Corey Kispert","Raul Neto","Jock Landale","Devontae Cacok","Tre Jones","Joshua Primo","Joe Wieskamp",3,4,0,2
"Aaron Holiday","Deni Avdija","Anthony Gill","Corey Kispert","Raul Neto","Myles Turner","Caris LeVert","Malcolm Brogdon","Kelan Martin","Brad Wanamaker",4,0,0,17
"Aaron Holiday","Deni Avdija","Isaiah Todd","Joel Ayayi","Corey Kispert","DeAndre' Bembry","Bruce Brown","Jevon Carter","Day'Ron Sharpe","Cam Thomas",5,4,0,27
"Aaron Holiday","Isaiah Todd","Anthony Gill","Joel Ayayi","Corey Kispert","Kelly Oubre Jr.","Terry Rozier","Miles Bridges","Cody Martin","LaMelo Ball",3,0,0,25
"Abdel Nader","Landry Shamet","Cameron Johnson","JaVale McGee","Elfrid Payton","Larry Nance Jr.","Anfernee Simons","Nassir Little","CJ McCollum","Cody Zeller",2,3,0,16
"Abdel Nader","Landry Shamet","Cameron Johnson","JaVale McGee","Elfrid Payton","Larry Nance Jr.","Dennis Smith Jr.","Anfernee Simons","Nassir Little","Robert Covington",4,5,0,7
"Admiral Schofield","Freddie Gillespie","Franz Wagner","Gary Harris","Tim Frazier","Delon Wright","John Collins","Jalen Johnson","Lance Stephenson","Bogdan Bogdanovic",0,0,0,21
"Admiral Schofield","Freddie Gillespie","Franz Wagner","Gary Harris","Tim Frazier","Delon Wright","John Collins","Onyeka Okongwu","Lance Stephenson","Bogdan Bogdanovic",0,0,0,28
"Al Horford","Dennis Schroder","Jaylen Brown","Jayson Tatum","Grant Williams","Bradley Beal","Kentavious Caldwell-Pope","Spencer Dinwiddie","Montrezl Harrell","Kyle Kuzma",24,19,0,172
"Al Horford","Dennis Schroder","Jayson Tatum","Romeo Langford","Aaron Nesmith","Markieff Morris","Jimmy Butler","Bam Adebayo","Duncan Robinson","Tyler Herro",9,5,0,127
"Al Horford","Dennis Schroder","Josh Richardson","Grant Williams","Aaron Nesmith","Rudy Gay","Mike Conley","Rudy Gobert","Jordan Clarkson","Joe Ingles",7,9,1,89
"Al Horford","Dennis Schroder","Josh Richardson","Jaylen Brown","Jayson Tatum","Bradley Beal","Kentavious Caldwell-Pope","Spencer Dinwiddie","Montrezl Harrell","Kyle Kuzma",9,8,0,135
"Al Horford","Dennis Schroder","Josh Richardson","Jaylen Brown","Jayson Tatum","Kyle Kuzma","Davis Bertans","Bradley Beal","Kentavious Caldwell-Pope","Spencer Dinwiddie",0,2,0,48
"Al Horford","Dennis Schroder","Josh Richardson","Jaylen Brown","Jayson Tatum","Kyle Kuzma","Deni Avdija","Bradley Beal","Kentavious Caldwell-Pope","Spencer Dinwiddie",0,2,0,9
"Al Horford","Dennis Schroder","Josh Richardson","Jayson Tatum","Payton Pritchard","Reggie Bullock","Tim Hardaway Jr.","Kristaps Porzingis","Frank Ntilikina","Jalen Brunson",9,7,0,29
"Al Horford","Dennis Schroder","Josh Richardson","Jayson Tatum","Romeo Langford","Terrence Ross","Mo Bamba","Wendell Carter Jr.","R.J. Hampton","Jalen Suggs",10,10,0,102
"Al Horford","Dennis Schroder","Marcus Smart","Jaylen Brown","Jayson Tatum","Dejounte Murray","Jakob Poeltl","Bryn Forbes","Derrick White","Keldon Johnson",2,0,0,10
"Al Horford","Dennis Schroder","Marcus Smart","Jaylen Brown","Jayson Tatum","Dejounte Murray","Jakob Poeltl","Derrick White","Keita Bates-Diop","Keldon Johnson",8,6,0,54
"Al Horford","Dennis Schroder","Marcus Smart","Jaylen Brown","Jayson Tatum","Dejounte Murray","Jakob Poeltl","Derrick White","Lonnie Walker IV","Keldon Johnson",0,0,0,33
"Al Horford","Dennis Schroder","Marcus Smart","Jayson Tatum","Aaron Nesmith","Ricky Rubio","Darius Garland","Dean Wade","Isaac Okoro","Evan Mobley",15,15,0,66
"Al Horford","Dennis Schroder","Marcus Smart","Jayson Tatum","Grant Williams","Clint Capela","Bogdan Bogdanovic","John Collins","Kevin Huerter","Trae Young",38,40,2,217
"Al Horford","Dennis Schroder","Marcus Smart","Jayson Tatum","Grant Williams","Mike Conley","Bojan Bogdanovic","Rudy Gobert","Royce O'Neale","Donovan Mitchell",12,12,0,60
"Al Horford","Dennis Schroder","Marcus Smart","Jayson Tatum","Jaylen Brown","Dejounte Murray","Jakob Poeltl","Derrick White","Keita Bates-Diop","Keldon Johnson",3,10,0,122
"Al Horford","Dennis Schroder","Marcus Smart","Jayson Tatum","Jaylen Brown","Dejounte Murray","Jakob Poeltl","Derrick White","Lonnie Walker IV","Keldon Johnson",4,6,0,30
"Al Horford","Dennis Schroder","Marcus Smart","Jayson Tatum","Robert Williams III","Chris Paul","JaVale McGee","Jae Crowder","Mikal Bridges","Landry Shamet",18,22,0,148
"Al Horford","Dennis Schroder","Marcus Smart","Jayson Tatum","Robert Williams III","Christian Wood","Daniel Theis","Kevin Porter Jr.","Jalen Green","Jae'Sean Tate",24,18,1,138
"Al Horford","Dennis Schroder","Marcus Smart","Jayson Tatum","Robert Williams III","Dorian Finney-Smith","Jalen Brunson","Luka Doncic","Reggie Bullock","Dwight Powell",5,0,0,10
"Al Horford","Dennis Schroder","Marcus Smart","Jayson Tatum","Robert Williams III","LeBron James","Russell Westbrook","Avery Bradley","Anthony Davis","Talen Horton-Tucker",27,27,1,191
"Al Horford","Dennis Schroder","Marcus Smart","Jayson Tatum","Robert Williams III","Mike Conley","Bojan Bogdanovic","Rudy Gobert","Royce O'Neale","Donovan Mitchell",4,15,0,78
"Al Horford","Dennis Schroder","Marcus Smart","Jayson Tatum","Robert Williams III","Nicolas Batum","Marcus Morris Sr.","Reggie Jackson","Ivica Zubac","Terance Mann",16,15,0,158
"Al Horford","Dennis Schroder","Marcus Smart","Jayson Tatum","Robert Williams III","Ricky Rubio","Darius Garland","Dean Wade","Isaac Okoro","Evan Mobley",5,8,0,84
"Al Horford","Dennis Schroder","Marcus Smart","Jayson Tatum","Robert Williams III","Tim Hardaway Jr.","Dwight Powell","Kristaps Porzingis","Dorian Finney-Smith","Luka Doncic",19,21,0,168
"Al Horford","Dennis Schroder","Marcus Smart","Josh Richardson","Grant Williams","Ivica Zubac","Luke Kennard","Brandon Boston Jr.","Eric Bledsoe","Reggie Jackson",2,0,0,8
"Al Horford","Dennis Schroder","Marcus Smart","Josh Richardson","Grant Williams","Luke Kennard","Isaiah Hartenstein","Brandon Boston Jr.","Eric Bledsoe","Reggie Jackson",2,5,0,3
"Al Horford","Dennis Schroder","Marcus Smart","Josh Richardson","Grant Williams","Nicolas Batum","Eric Bledsoe","Luke Kennard","Isaiah Hartenstein","Terance Mann",2,2,0,21
"Al Horford","Dennis Schroder","Romeo Langford","Grant Williams","Payton Pritchard","JaVale McGee","Jae Crowder","Cameron Payne","Landry Shamet","Cameron Johnson",3,10,0,59
"Al Horford","Josh Richardson","Jayson Tatum","Grant Williams","Payton Pritchard","Eric Gordon","D.J. Augustin","Danuel House Jr.","Jalen Green","Alperen Sengun",6,0,0,22
"Al Horford","Marcus Smart","Jaylen Brown","Jayson Tatum","Grant Williams","Pascal Siakam","Fred VanVleet","Svi Mykhailiuk","Precious Achiuwa","Scottie Barnes",18,17,1,156
"Al Horford","Marcus Smart","Jaylen Brown","Jayson Tatum","Grant Williams","Pascal Siakam","Fred VanVleet","Svi Mykhailiuk","Yuta Watanabe","Precious Achiuwa",11,16,0,65
"Al Horford","Marcus Smart","Jaylen Brown","Jayson Tatum","Robert Williams III","Kyle Lowry","P.J. Tucker","Jimmy Butler","Bam Adebayo","Duncan Robinson",15,22,0,198
"Al Horford","Marcus Smart","Jaylen Brown","Jayson Tatum","Robert Williams III","Mo Bamba","Wendell Carter Jr.","Cole Anthony","Franz Wagner","Jalen Suggs",29,17,0,169
"Al Horford","Marcus Smart","Jayson Tatum","Aaron Nesmith","Payton Pritchard","LeBron James","Carmelo Anthony","Dwight Howard","Russell Westbrook","Wayne Ellington",12,11,0,57
"Al Horford","Marcus Smart","Jayson Tatum","Aaron Nesmith","Payton Pritchard","Malik Monk","Talen Horton-Tucker","Russell Westbrook","Anthony Davis","LeBron James",0,2,0,15
"Al Horford","Marcus Smart","Jayson Tatum","Aaron Nesmith","Payton Pritchard","Talen Horton-Tucker","Wayne Ellington","Anthony Davis","LeBron James","Carmelo Anthony",2,2,1,15
"Al Horford","Marcus Smart","Jayson Tatum","Aaron Nesmith","Payton Pritchard","Talen Horton-Tucker","Wayne Ellington","LeBron James","Carmelo Anthony","Dwight Howard",0,0,0,23
"Al Horford","Marcus Smart","Josh Richardson","Jayson Tatum","Payton Pritchard","Tim Hardaway Jr.","Kristaps Porzingis","Frank Ntilikina","Sterling Brown","Jalen Brunson",4,5,0,65
"Al Horford","Marcus Smart","Josh Richardson","Jayson Tatum","Romeo Langford","Cedi Osman","Denzel Valentine","Darius Garland","Dylan Windler","Evan Mobley",4,9,0,51
"Al Horford","Marcus Smart","Josh Richardson","Jayson Tatum","Romeo Langford","Rudy Gay","Mike Conley","Rudy Gobert","Jordan Clarkson","Joe Ingles",4,5,0,41
"Al Horford","Marcus Smart","Josh Richardson","Jayson Tatum","Romeo Langford","Trent Forrest","Rudy Gay","Rudy Gobert","Jordan Clarkson","Joe Ingles",7,0,0,45
"Alec Burks","Evan Fournier","Julius Randle","Mitchell Robinson","Quentin Grimes","LaMarcus Aldridge","Kevin Durant","James Harden","Patty Mills","DeAndre' Bembry",0,12,0,82
"Alec Burks","Evan Fournier","Julius Randle","Mitchell Robinson","RJ Barrett","Clint Capela","Bogdan Bogdanovic","John Collins","Kevin Huerter","Trae Young",19,19,0,78
"Alec Burks","Evan Fournier","Julius Randle","Mitchell Robinson","RJ Barrett","LaMarcus Aldridge","Kevin Durant","James Harden","Patty Mills","DeAndre' Bembry",11,10,0,58
"Alec Burks","Evan Fournier","Julius Randle","Mitchell Robinson","RJ Barrett","Solomon Hill","Clint Capela","John Collins","Kevin Huerter","Trae Young",13,12,0,116
"Alec Burks","Evan Fournier","Nerlens Noel","Julius Randle","Miles McBride","Daniel Theis","Garrison Mathews","Kenyon Martin Jr.","Josh Christopher","Eric Gordon",0,2,0,27
"Alec Burks","Evan Fournier","Nerlens Noel","Julius Randle","Miles McBride","Eric Gordon","Daniel Theis","Garrison Mathews","Jae'Sean Tate","Josh Christopher",11,14,0,69
"Alec Burks","Evan Fournier","Nerlens Noel","Julius Randle","RJ Barrett","Dejounte Murray","Jakob Poeltl","Bryn Forbes","Lonnie Walker IV","Keldon Johnson",0,4,0,35
"Alec Burks","Evan Fournier","Nerlens Noel","Julius Randle","RJ Barrett","Dejounte Murray","Jakob Poeltl","Derrick White","Keita Bates-Diop","Doug McDermott",15,14,0,76
"Alec Burks","Evan Fournier","Nerlens Noel","Julius Randle","RJ Barrett","Doug McDermott","Dejounte Murray","Jakob Poeltl","Derrick White","Keldon Johnson",19,11,1,117
"Alec Burks","Evan Fournier","Nerlens Noel","Julius Randle","RJ Barrett","Pascal Siakam","Fred VanVleet","Chris Boucher","Gary Trent Jr.","Scottie Barnes",24,35,0,250
"Alex Caruso","Alfonzo McKinnie","Lonzo Ball","Devon Dotson","Nikola Vucevic","Duncan Robinson","Tyler Herro","KZ Okpala","Kyle Lowry","P.J. Tucker",2,3,0,18
"Alex Caruso","Alfonzo McKinnie","Lonzo Ball","Tony Bradley","Zach LaVine","Duncan Robinson","Tyler Herro","KZ Okpala","Kyle Lowry","P.J. Tucker",0,0,0,23
"Alex Caruso","Alfonzo McKinnie","Lonzo Ball","Tony Bradley","Zach LaVine","Gabe Vincent","Max Strus","Tyler Herro","KZ Okpala","Omer Yurtseven",0,0,0,0
"Alex Caruso","Alfonzo McKinnie","Lonzo Ball","Tony Bradley","Zach LaVine","Gabe Vincent","Max Strus","Tyler Herro","KZ Okpala","P.J. Tucker",8,7,1,17
"Alex Caruso","Alfonzo McKinnie","Troy Brown Jr.","Devon Dotson","Nikola Vucevic","Duncan Robinson","Tyler Herro","KZ Okpala","Kyle Lowry","Dewayne Dedmon",0,0,0,0
"Alex Caruso","Alfonzo McKinnie","Troy Brown Jr.","Devon Dotson","Nikola Vucevic","Duncan Robinson","Tyler Herro","KZ Okpala","Kyle Lowry","P.J. Tucker",1,4,0,19
"Alex Caruso","Alize Johnson","Ayo Dosunmu","DeMar DeRozan","Zach LaVine","Gary Payton II","Stephen Curry","Nemanja Bjelica","Draymond Green","Andre Iguodala",0,5,0,12
"Alex Caruso","Alize Johnson","Javonte Green","Ayo Dosunmu","DeMar DeRozan","Norman Powell","Larry Nance Jr.","Anfernee Simons","Nassir Little","Damian Lillard",0,2,0,5
"Alex Caruso","Alize Johnson","Javonte Green","Ayo Dosunmu","DeMar DeRozan","Trey Lyles","Josh Jackson","Hamidou Diallo","Cory Joseph","Kelly Olynyk",4,0,0,4
"Alex Caruso","Alize Johnson","Javonte Green","Ayo Dosunmu","Zach LaVine","Kevon Looney","Gary Payton II","Jordan Poole","Draymond Green","Andrew Wiggins",4,2,0,11
"Alex Caruso","Alize Johnson","Javonte Green","Ayo Dosunmu","Zach LaVine","Kevon Looney","Jordan Poole","Moses Moody","Draymond Green","Andrew Wiggins",0,0,0,0
"Alex Caruso","Alize Johnson","Patrick Williams","Ayo Dosunmu","DeMar DeRozan","Cory Joseph","Kelly Olynyk","Trey Lyles","Josh Jackson","Hamidou Diallo",0,3,0,0
"Alex Caruso","Ayo Dosunmu","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Josh Richardson","Jaylen Brown","Jayson Tatum","Al Horford","Dennis Schroder",2,0,0,0
"Alex Caruso","Coby White","Ayo Dosunmu","DeMar DeRozan","Nikola Vucevic","Danuel House Jr.","Armoni Brooks","Alperen Sengun","Eric Gordon","D.J. Augustin",0,0,0,0
"Alex Caruso","Coby White","Ayo Dosunmu","DeMar DeRozan","Nikola Vucevic","Danuel House Jr.","Armoni Brooks","Kenyon Martin Jr.","Alperen Sengun","D.J. Augustin",0,0,0,2
"Alex Caruso","Coby White","Ayo Dosunmu","DeMar DeRozan","Nikola Vucevic","Danuel House Jr.","Kenyon Martin Jr.","Alperen Sengun","Eric Gordon","D.J. Augustin",0,6,0,7
"Alex Caruso","Coby White","Ayo Dosunmu","Nikola Vucevic","Zach LaVine","Wendell Carter Jr.","Chuma Okeke","Franz Wagner","Terrence Ross","Gary Harris",4,0,0,9
"Alex Caruso","Coby White","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Wendell Carter Jr.","Moritz Wagner","Franz Wagner","Terrence Ross","Gary Harris",1,4,0,5
"Alex Caruso","Coby White","Javonte Green","Ayo Dosunmu","DeMar DeRozan","PJ Dozier","Facundo Campazzo","Bones Hyland","Austin Rivers","Aaron Gordon",3,2,0,10
"Alex Caruso","Coby White","Javonte Green","Nikola Vucevic","Zach LaVine","Mo Bamba","Wendell Carter Jr.","Franz Wagner","Terrence Ross","Gary Harris",0,0,1,0
"Alex Caruso","Javonte Green","Ayo Dosunmu","Nikola Vucevic","Zach LaVine","Furkan Korkmaz","Shake Milton","Matisse Thybulle","Seth Curry","Joel Embiid",0,0,0,21
"Alex Caruso","Javonte Green","Ayo Dosunmu","Nikola Vucevic","Zach LaVine","Georges Niang","Matisse Thybulle","Tyrese Maxey","Seth Curry","Joel Embiid",6,7,0,19
"Alex Caruso","Javonte Green","Ayo Dosunmu","Nikola Vucevic","Zach LaVine","Georges Niang","Shake Milton","Matisse Thybulle","Seth Curry","Joel Embiid",0,2,0,3
"Alex Caruso","Javonte Green","Ayo Dosunmu","Nikola Vucevic","Zach LaVine","Immanuel Quickley","Derrick Rose","Taj Gibson","Evan Fournier","Julius Randle",8,2,0,35
"Alex Caruso","Javonte Green","Ayo Dosunmu","Nikola Vucevic","Zach LaVine","Mitchell Robinson","Immanuel Quickley","Derrick Rose","Evan Fournier","Julius Randle",0,0,0,0
"Alex Caruso","Javonte Green","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Georges Niang","Shake Milton","Matisse Thybulle","Seth Curry","Joel Embiid",5,5,0,9
"Alex Caruso","Javonte Green","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Jayson Tatum","Grant Williams","Al Horford","Dennis Schroder","Marcus Smart",2,7,1,1
"Alex Caruso","Javonte Green","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Kevin Knox II","Immanuel Quickley","Alec Burks","Evan Fournier","Julius Randle",4,7,0,20
"Alex Caruso","Javonte Green","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Kevin Knox II","Mitchell Robinson","Immanuel Quickley","Alec Burks","Julius Randle",6,4,0,5
"Alex Caruso","Javonte Green","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Seth Curry","Joel Embiid","Furkan Korkmaz","Matisse Thybulle","Tyrese Maxey",8,5,0,46
"Alex Caruso","Lonzo Ball","Alize Johnson","Ayo Dosunmu","Zach LaVine","Gary Payton II","Jonathan Kuminga","Stephen Curry","Nemanja Bjelica","Andre Iguodala",3,7,0,11
"Alex Caruso","Lonzo Ball","Alize Johnson","DeMar DeRozan","Zach LaVine","Gary Payton II","Jordan Poole","Nemanja Bjelica","Draymond Green","Andrew Wiggins",6,4,0,34
"Alex Caruso","Lonzo Ball","Alize Johnson","DeMar DeRozan","Zach LaVine","Jordan Poole","Stephen Curry","Nemanja Bjelica","Draymond Green","Andrew Wiggins",2,5,0,5
"Alex Caruso","Lonzo Ball","Alize Johnson","DeMar DeRozan","Zach LaVine","Kevon Looney","Jordan Poole","Moses Moody","Draymond Green","Andrew Wiggins",2,2,0,27
"Alex Caruso","Lonzo Ball","Alize Johnson","DeMar DeRozan","Zach LaVine","Kevon Looney","Jordan Poole","Stephen Curry","Draymond Green","Andrew Wiggins",3,3,0,9
"Alex Caruso","Lonzo Ball","Alize Johnson","DeMar DeRozan","Zach LaVine","Stephen Curry","Draymond Green","Andrew Wiggins","Kevon Looney","Jordan Poole",2,2,0,23
"Alex Caruso","Lonzo Ball","Alize Johnson","Patrick Williams","DeMar DeRozan","Cory Joseph","Kelly Olynyk","Trey Lyles","Josh Jackson","Hamidou Diallo",0,2,0,3
"Alex Caruso","Lonzo Ball","Alize Johnson","Patrick Williams","Zach LaVine","Fred VanVleet","O.G. Anunoby","Gary Trent Jr.","Precious Achiuwa","Scottie Barnes",0,5,0,22
"Alex Caruso","Lonzo Ball","Alize Johnson","Patrick Williams","Zach LaVine","Fred VanVleet","O.G. Anunoby","Scottie Barnes","Goran Dragic","Khem Birch",2,2,1,52
"Alex Caruso","Lonzo Ball","Ayo Dosunmu","DeMar DeRozan","Nikola Vucevic","Danuel House Jr.","Kevin Porter Jr.","Armoni Brooks","Kenyon Martin Jr.","Alperen Sengun",2,5,0,2
"Alex Caruso","Lonzo Ball","Ayo Dosunmu","DeMar DeRozan","Zach LaVine","Luke Kennard","Amir Coffey","Terance Mann","Nicolas Batum","Eric Bledsoe",0,0,0,0
"Alex Caruso","Lonzo Ball","Ayo Dosunmu","DeMar DeRozan","Zach LaVine","Luke Kennard","Isaiah Hartenstein","Terance Mann","Eric Bledsoe","Reggie Jackson",0,0,0,2
"Alex Caruso","Lonzo Ball","Coby White","DeMar DeRozan","Nikola Vucevic","Moritz Wagner","Chuma Okeke","Franz Wagner","Terrence Ross","Gary Harris",0,0,0,3
"Alex Caruso","Lonzo Ball","Coby White","DeMar DeRozan","Nikola Vucevic","Moritz Wagner","Chuma Okeke","R.J. Hampton","Franz Wagner","Terrence Ross",5,4,0,18
"Alex Caruso","Lonzo Ball","Coby White","Javonte Green","Ayo Dosunmu","Mychal Mulder","Moritz Wagner","Chuma Okeke","Ignas Brazdeikis","R.J. Hampton",4,0,1,32
"Alex Caruso","Lonzo Ball","Coby White","Javonte Green","DeMar DeRozan","Mychal Mulder","Moritz Wagner","Chuma Okeke","Ignas Brazdeikis","R.J. Hampton",2,0,0,27
"Alex Caruso","Lonzo Ball","Coby White","Javonte Green","DeMar DeRozan","Terrence Ross","Mychal Mulder","Mo Bamba","Moritz Wagner","R.J. Hampton",4,0,0,28
"Alex Caruso","Lonzo Ball","Coby White","Nikola Vucevic","Zach LaVine","Garrison Mathews","Jae'Sean Tate","Alperen Sengun","Eric Gordon","D.J. Augustin",3,2,0,47
"Alex Caruso","Lonzo Ball","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Alec Burks","Evan Fournier","Julius Randle","Mitchell Robinson","Immanuel Quickley",3,0,0,40
"Alex Caruso","Lonzo Ball","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Christian Wood","Danuel House Jr.","Kevin Porter Jr.","Armoni Brooks","Garrison Mathews",3,3,0,41
"Alex Caruso","Lonzo Ball","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Christian Wood","Danuel House Jr.","Kevin Porter Jr.","Garrison Mathews","Eric Gordon",7,4,0,4
"Alex Caruso","Lonzo Ball","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Frank Jackson","Saddiq Bey","Cory Joseph","Kelly Olynyk","Jerami Grant",0,0,0,0
"Alex Caruso","Lonzo Ball","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Frank Jackson","Saddiq Bey","Isaiah Stewart","Cory Joseph","Jerami Grant",4,2,0,42
"Alex Caruso","Lonzo Ball","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Fred VanVleet","Chris Boucher","Gary Trent Jr.","Precious Achiuwa","Scottie Barnes",5,0,0,13
"Alex Caruso","Lonzo Ball","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Fred VanVleet","O.G. Anunoby","Gary Trent Jr.","Precious Achiuwa","Scottie Barnes",18,18,0,43
"Alex Caruso","Lonzo Ball","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Fred VanVleet","O.G. Anunoby","Gary Trent Jr.","Scottie Barnes","Goran Dragic",1,2,0,2
"Alex Caruso","Lonzo Ball","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Furkan Korkmaz","Matisse Thybulle","Tyrese Maxey","Seth Curry","Joel Embiid",6,4,0,25
"Alex Caruso","Lonzo Ball","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Georges Niang","Furkan Korkmaz","Tyrese Maxey","Seth Curry","Joel Embiid",0,0,0,0
"Alex Caruso","Lonzo Ball","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Georges Niang","Matisse Thybulle","Tyrese Maxey","Seth Curry","Joel Embiid",9,11,0,76
"Alex Caruso","Lonzo Ball","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Immanuel Quickley","Derrick Rose","Alec Burks","Evan Fournier","Julius Randle",6,3,0,24
"Alex Caruso","Lonzo Ball","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Jaylen Brown","Jayson Tatum","Al Horford","Dennis Schroder","Marcus Smart",5,7,0,8
"Alex Caruso","Lonzo Ball","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Josh Jackson","Saddiq Bey","Isaiah Stewart","Cory Joseph","Jerami Grant",2,2,0,12
"Alex Caruso","Lonzo Ball","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Josh Richardson","Jaylen Brown","Jayson Tatum","Al Horford","Marcus Smart",7,2,1,47
"Alex Caruso","Lonzo Ball","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Juancho Hernangomez","Bruno Fernando","Romeo Langford","Aaron Nesmith","Payton Pritchard",2,0,1,4
"Alex Caruso","Lonzo Ball","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Mitchell Robinson","Immanuel Quickley","Alec Burks","Evan Fournier","Julius Randle",2,2,0,0
"Alex Caruso","Lonzo Ball","DeMar DeRozan","Nikola Vucevic","Zach LaVine","Wendell Carter Jr.","Moritz Wagner","Franz Wagner","Terrence Ross","Gary Harris",2,2,0,26
"Alex Caruso","Lonzo Ball","Javonte Green","Ayo Dosunmu","Zach LaVine","Christian Wood","Kevin Porter Jr.","Armoni Brooks","Garrison Mathews","Alperen Sengun",2,0,1,14
"Alex Caruso","Lonzo Ball","Javonte Green","Ayo Dosunmu","Zach LaVine","Facundo Campazzo","Bones Hyland","Will Barton","JaMychal Green","Aaron Gordon",0,0,0,0
"Alex Caruso","Lonzo Ball","Javonte Green","Ayo Dosunmu","Zach LaVine","Monte Morris","Facundo Campazzo","Bones Hyland","Jeff Green","Aaron Gordon",2,0,0,5
