TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612765,"[202709, 1626168, 1628402, 1628977, 1630180]",1610612748,"[200768, 203473, 1629130, 1629216, 1629622]",1
1610612765,"[202709, 1627767, 1628367, 1630180, 1630691]",1610612748,"[1629216, 1629639, 1629644, 1630209, 1630585]",2
1610612765,"[202709, 1626168, 1628402, 1628977, 1630180]",1610612748,"[200768, 1629130, 1629216, 1629622, 1630209]",3
1610612765,"[202709, 1628367, 1628402, 1630180, 1630691]",1610612748,"[1629216, 1629622, 1629639, 1630209, 1630585]",4
