TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612744,"[203952, 1626172, 1627780, 1629308, 1629673]",1610612765,"[203924, 1630165, 1630180, 1630191, 1630595]",1
1610612744,"[202357, 1627814, 1629673, 1630228, 1630541]",1610612765,"[202709, 1626168, 1628402, 1628977, 1630180]",2
1610612744,"[203952, 1626172, 1627780, 1629308, 1629673]",1610612765,"[203924, 1630165, 1630180, 1630191, 1630595]",3
1610612744,"[202357, 1627814, 1629185, 1629673, 1630228]",1610612765,"[202709, 1626168, 1628402, 1628977, 1630180]",4
