TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612748,"[200768, 200782, 202710, 1628389, 1629130]",1610612764,"[203078, 203484, 203915, 1628398, 1629655]",1
1610612748,"[200768, 1628389, 1628997, 1629622, 1629639]",1610612764,"[203915, 1626149, 1628988, 1630166, 1630557]",2
1610612748,"[200768, 200782, 202710, 1628389, 1629130]",1610612764,"[203078, 203484, 203915, 1628398, 1629655]",3
1610612748,"[200768, 1628389, 1628997, 1629622, 1629639]",1610612764,"[203915, 1626149, 1628988, 1630166, 1630557]",4
