TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612743,"[201145, 203115, 203932, 203999, 1628420]",1610612751,"[200746, 201949, 201988, 1627761, 1630556]",1
1610612743,"[202326, 203085, 1627854, 1630192, 1630267]",1610612751,"[201933, 201988, 1628971, 1628975, 1630560]",2
1610612743,"[201145, 203115, 203932, 203999, 1628420]",1610612751,"[200746, 201949, 201988, 1627761, 1630556]",3
1610612743,"[202326, 203085, 1627854, 1630192, 1630267]",1610612751,"[201933, 201949, 201988, 1627761, 1630560]",4
