TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612745,"[201569, 1626174, 1628464, 1630224, 1630256]",1610612752,"[202689, 203095, 203944, 1629011, 1629628]",1
1610612745,"[201571, 1629726, 1630231, 1630256, 1630578]",1610612752,"[201565, 202692, 203457, 1630167, 1630193]",2
1610612745,"[201571, 1626174, 1628464, 1630224, 1630256]",1610612752,"[202689, 203095, 203944, 1629011, 1629628]",3
1610612745,"[201571, 1629726, 1630231, 1630256, 1630578]",1610612752,"[201565, 202692, 203457, 1630167, 1630193]",4
