TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612759,"[203926, 1627749, 1627751, 1628401, 1629640]",1610612756,"[101108, 203109, 1628969, 1629013, 1629028]",1
1610612759,"[203926, 1627749, 1627751, 1627854, 1630563]",1610612756,"[201580, 203901, 1626166, 1629661, 1630688]",2
1610612759,"[203926, 1627749, 1627751, 1628401, 1629640]",1610612756,"[101108, 203109, 1628969, 1629013, 1629028]",3
1610612759,"[1627854, 1629022, 1629234, 1630200, 1630563]",1610612756,"[201580, 203901, 1626166, 1629013, 1629661]",4
