TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612757,"[203081, 203468, 203496, 203994, 1626181]",1610612745,"[1626174, 1628464, 1629645, 1630224, 1630256]",1
1610612757,"[203468, 203503, 203994, 1629014, 1629642]",1610612745,"[201569, 1626174, 1627863, 1630224, 1630578]",2
1610612757,"[203081, 203468, 203496, 203994, 1626181]",1610612745,"[1626174, 1628464, 1629645, 1630224, 1630256]",3
1610612757,"[203468, 203503, 1626204, 1629014, 1629642]",1610612745,"[201569, 201571, 1627863, 1630231, 1630578]",4
