TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612749,"[201588, 203507, 203648, 1626192, 1628960]",1610612765,"[203924, 1630165, 1630180, 1630191, 1630595]",1
1610612749,"[203507, 203648, 203918, 1626192, 1629620]",1610612765,"[202709, 203482, 1626168, 1628367, 1628402]",2
1610612749,"[201588, 203507, 203648, 1626192, 1628960]",1610612765,"[203924, 1630165, 1630180, 1630191, 1630595]",3
1610612749,"[203507, 203918, 1626171, 1626192, 1629620]",1610612765,"[1626168, 1628367, 1628402, 1630568, 1630595]",4
