TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612744,"[1626172, 1627814, 1629185, 1629308, 1630228]",1610612761,"[1627832, 1628384, 1628449, 1629018, 1630567]",1
1610612744,"[202357, 1627780, 1629185, 1630228, 1630541]",1610612761,"[1627832, 1628384, 1629004, 1629139, 1630173]",2
1610612744,"[202357, 1626172, 1627814, 1629308, 1630228]",1610612761,"[1627832, 1628384, 1628449, 1629018, 1630567]",3
1610612744,"[1627780, 1629308, 1630228, 1630288, 1630541]",1610612761,"[1628384, 1629004, 1629139, 1630173, 1630201]",4
