TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612762,"[201144, 202711, 203497, 1626220, 1628378]",1610612749,"[201588, 203507, 203648, 1626192, 1628960]",1
1610612762,"[201144, 203497, 203903, 204060, 1629672]",1610612749,"[203507, 203648, 203918, 1626192, 1629620]",2
1610612762,"[201144, 202711, 203497, 1626220, 1628378]",1610612749,"[201588, 203507, 203648, 1626192, 1628960]",3
1610612762,"[201144, 203497, 203903, 204060, 1629672]",1610612749,"[201588, 203507, 203648, 1629620, 1629670]",4
