,playerId,RAPM__Off,RAPM__Def,RAPM,RAPM_Rank,RAPM__Off_Rank,RAPM__Def_Rank,RAPM__intercept
470,Solomon Hill,0.0088,0.0106,0.02,57.0,113.0,89.0,-0.0
471,Spencer Dinwiddie,-0.0109,-0.0101,-0.02,500.0,358.5,382.0,-0.0
472,Stanley Johnson,0.0,0.0096,0.01,131.0,264.0,98.0,-0.0
473,Stephen Curry,0.0188,0.0237,0.04,6.0,23.0,16.0,-0.0
474,Sterling Brown,0.0026,-0.0173,-0.01,454.0,206.5,319.0,-0.0
475,Steven Adams,-0.0016,0.0087,0.01,161.0,514.5,106.5,-0.0
476,Svi Mykhailiuk,-0.0145,0.0005,-0.01,447.0,322.0,241.0,-0.0
477,T.J. McConnell,-0.0034,-0.0091,-0.01,434.0,487.0,395.5,-0.0
478,Tacko Fall,-0.0079,0.0066,-0.0,285.5,405.5,139.0,-0.0
479,Taj Gibson,0.0071,0.0175,0.02,35.0,135.0,37.0,-0.0
480,Talen Horton-Tucker,-0.0053,-0.0068,-0.01,429.0,448.5,428.0,-0.0
481,Taurean Prince,-0.0197,-0.0272,-0.05,541.0,296.5,295.5,-0.0
482,Terance Mann,-0.0072,0.0121,0.0,197.0,414.5,73.0,-0.0
483,Terence Davis,0.0104,0.0217,0.03,13.0,92.5,20.0,-0.0
484,Terrence Ross,-0.0176,-0.0222,-0.04,538.0,305.0,304.5,-0.0
485,Terry Rozier,-0.001,-0.0081,-0.01,403.0,529.0,414.5,-0.0
486,Thaddeus Young,-0.0015,-0.004,-0.01,353.5,516.5,472.5,-0.0
487,Thanasis Antetokounmpo,-0.0064,-0.0073,-0.01,444.5,426.0,425.0,-0.0
488,Theo Maledon,-0.0067,-0.0094,-0.02,462.5,420.0,392.5,-0.0
489,Theo Pinson,-0.0031,-0.0035,-0.01,369.0,490.0,480.0,-0.0
490,Thomas Bryant,0.0054,0.0,0.01,190.0,160.5,269.0,-0.0
491,Tim Frazier,-0.0092,-0.0025,-0.01,425.0,384.5,496.0,-0.0
492,Tim Hardaway Jr.,-0.0112,0.0101,-0.0,281.5,355.0,94.0,-0.0
493,Timothe Luwawu-Cabarrot,-0.008,-0.0087,-0.02,467.0,402.0,403.0,-0.0
494,Tobias Harris,-0.0082,-0.0116,-0.02,493.0,397.0,366.5,-0.0
495,Tomas Satoransky,-0.0202,-0.0085,-0.03,528.0,293.0,406.5,-0.0
496,Tony Bradley,0.0124,0.0359,0.05,4.0,60.5,2.0,-0.0
497,Tony Snell,-0.0006,0.0047,0.0,208.0,534.0,165.0,-0.0
498,Torrey Craig,-0.0117,-0.0032,-0.01,456.0,349.5,484.0,-0.0
499,Trae Young,-0.0106,0.0139,0.0,218.0,363.0,56.0,-0.0
500,Tre Jones,0.01,-0.005,0.0,194.5,97.0,459.0,-0.0
501,Tre Mann,-0.014,0.0062,-0.01,391.0,326.0,145.0,-0.0
502,Tre Scott,0.0111,-0.0055,0.01,186.0,74.0,450.5,-0.0
503,Tremont Waters,-0.005,0.0,-0.0,346.0,454.5,269.0,-0.0
504,Trendon Watford,-0.0111,0.0265,0.02,80.5,356.5,10.0,-0.0
505,Trent Forrest,0.0281,-0.0166,0.01,111.0,5.0,323.5,-0.0
506,Trevelin Queen,-0.0056,0.0,-0.01,355.5,442.0,269.0,-0.0
507,Trevor Ariza,0.0062,0.0105,0.02,71.0,148.0,90.0,-0.0
508,Trey Burke,-0.0015,0.0055,0.0,209.5,516.5,158.5,-0.0
509,Trey Lyles,0.0013,-0.0115,-0.01,415.0,228.5,368.0,-0.0
510,Trey Murphy III,0.0024,0.0056,0.01,151.5,209.0,155.5,-0.0
511,Tristan Thompson,-0.015,0.0122,-0.0,311.0,316.0,71.0,-0.0
512,Troy Brown Jr.,-0.0086,0.0014,-0.01,378.5,391.0,222.0,-0.0
513,Ty Jerome,-0.0016,0.0059,0.0,206.0,514.5,150.5,-0.0
514,Tyler Cook,-0.001,-0.0223,-0.02,513.0,529.0,303.0,-0.0
515,Tyler Hall,0.0,-0.0046,-0.0,339.0,264.0,463.0,-0.0
516,Tyler Herro,-0.0053,-0.0063,-0.01,424.0,448.5,438.0,-0.0
517,Tyler Johnson,0.003,0.0021,0.01,192.5,198.0,214.0,-0.0
518,Tyrell Terry,-0.0062,0.0,-0.01,364.0,429.0,269.0,-0.0
519,Tyrese Haliburton,0.0004,-0.0015,-0.0,280.0,242.0,516.0,-0.0
520,Tyrese Maxey,-0.0065,0.0093,0.0,225.0,424.0,102.0,-0.0
521,Tyus Jones,-0.0063,0.0016,-0.0,342.0,427.0,220.0,-0.0
522,Udoka Azubuike,0.0,0.0027,0.0,226.0,264.0,198.5,-0.0
523,Udonis Haslem,-0.0118,0.0,-0.01,426.5,347.5,269.0,-0.0
524,Usman Garuba,0.0185,0.0,0.02,65.0,27.0,269.0,-0.0
525,Vernon Carey Jr.,0.0002,-0.006,-0.01,358.0,247.5,441.5,-0.0
526,Vit Krejci,-0.0021,0.0,-0.0,297.5,508.5,269.0,-0.0
527,Vlatko Cancar,-0.0121,0.0067,-0.01,352.0,342.5,136.5,-0.0
528,Wayne Ellington,-0.0044,-0.0075,-0.01,428.0,464.0,423.5,-0.0
529,Wayne Selden,-0.0143,-0.006,-0.02,497.0,324.0,441.5,-0.0
530,Wendell Carter Jr.,-0.0174,0.0185,0.0,248.0,306.5,32.0,-0.0
531,Wes Iwundu,-0.0077,0.0,-0.01,388.0,408.5,269.0,-0.0
532,Wesley Matthews,0.0118,0.0024,0.01,90.0,65.5,207.0,-0.0
533,Will Barton,-0.0071,-0.0052,-0.01,430.5,417.0,456.0,-0.0
534,Willie Cauley-Stein,0.0109,0.0146,0.03,32.5,81.0,50.0,-0.0
535,Willy Hernangomez,0.0029,0.0026,0.01,189.0,201.0,201.0,-0.0
536,Xavier Tillman,-0.0058,-0.0104,-0.02,464.5,435.5,381.0,-0.0
537,Yuta Watanabe,-0.0149,0.027,0.01,104.0,318.0,9.0,-0.0
538,Yves Pons,-0.0042,-0.0041,-0.01,395.0,466.5,470.5,-0.0
539,Zach LaVine,0.0057,-0.0018,0.0,211.0,157.0,508.0,-0.0
540,Zeke Nnaji,-0.0078,0.0096,0.0,237.0,407.0,98.0,-0.0
541,Ziaire Williams,-0.0218,-0.0026,-0.02,516.0,288.0,492.5,-0.0
