TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612756,"[101108, 203109, 1626164, 1628969, 1629028]",1610612739,"[1628374, 1628386, 1629636, 1629731, 1630171]",1
1610612756,"[201580, 1626164, 1626166, 1629013, 1629661]",1610612739,"[201567, 201937, 1626224, 1628374, 1629636]",2
1610612756,"[101108, 203109, 1626164, 1628969, 1629028]",1610612739,"[1628374, 1628386, 1629636, 1629731, 1630171]",3
1610612756,"[101108, 201580, 1626166, 1629013, 1629661]",1610612739,"[201567, 201937, 1626224, 1628374, 1630171]",4
