TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612750,"[1626156, 1626157, 1629020, 1630162, 1630183]",1610612766,"[202330, 1626179, 1628970, 1629023, 1630163]",1
1610612750,"[1626156, 1627736, 1627752, 1629675, 1630183]",1610612766,"[202330, 1626162, 1626179, 1628970, 1628998]",2
1610612750,"[1626156, 1626157, 1629020, 1630162, 1630183]",1610612766,"[202330, 1626179, 1628970, 1629023, 1630163]",3
1610612750,"[1626156, 1627736, 1627752, 1629675, 1630162]",1610612766,"[202330, 1626162, 1626179, 1628970, 1629667]",4
