TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612747,"[201566, 201599, 202340, 203076, 203145]",1610612757,"[203081, 203468, 203496, 203994, 1626181]",1
1610612747,"[2546, 2730, 201566, 1628370, 1630559]",1610612757,"[203468, 203469, 1626204, 1629014, 1629642]",2
1610612747,"[2546, 201566, 201599, 202340, 203145]",1610612757,"[203081, 203468, 203496, 203994, 1626181]",3
1610612747,"[2546, 201566, 201961, 1628370, 1630559]",1610612757,"[203496, 1626204, 1628372, 1629014, 1629642]",4
