TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612747,"[201566, 201599, 201961, 203076, 1629659]",1610612758,"[1626158, 1628368, 1629002, 1629056, 1630169]",1
1610612747,"[2546, 2730, 201566, 1628370, 1630559]",1610612758,"[1626158, 1627741, 1629663, 1630169, 1630558]",2
1610612747,"[2730, 201566, 201961, 203076, 1629659]",1610612758,"[1626158, 1628368, 1629002, 1629056, 1630169]",3
1610612747,"[2546, 2730, 200765, 201961, 1630559]",1610612758,"[1626158, 1627741, 1629663, 1630169, 1630558]",4
