TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612758,"[203084, 203090, 1626158, 1628368, 1630169]",1610612757,"[203081, 203468, 203496, 203994, 1626181]",1
1610612758,"[203090, 1626158, 1627741, 1629056, 1630558]",1610612757,"[203468, 203469, 203496, 1629014, 1629642]",2
1610612758,"[203084, 203090, 1626158, 1628368, 1630169]",1610612757,"[203081, 203468, 203496, 203994, 1626181]",3
1610612758,"[203090, 1626158, 1627741, 1629056, 1630558]",1610612757,"[203468, 203469, 1626204, 1629014, 1629642]",4
