TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612747,"[2544, 201566, 202340, 203076, 1629659]",1610612763,"[203500, 1626145, 1628991, 1629001, 1630217]",1
1610612747,"[2546, 2730, 201566, 201961, 1628370]",1610612763,"[1626145, 1628991, 1629633, 1629723, 1630214]",2
1610612747,"[2544, 2730, 201566, 202340, 203076]",1610612763,"[203500, 1626145, 1628991, 1629001, 1630217]",3
1610612747,"[2544, 2546, 201566, 201961, 1629659]",1610612763,"[1629633, 1629681, 1629723, 1630214, 1630217]",4
