TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612761,"[1627783, 1627832, 1628384, 1629018, 1630567]",1610612757,"[203081, 203468, 203496, 203994, 1626181]",1
1610612761,"[203920, 1627783, 1629004, 1630567, 1630625]",1610612757,"[203468, 203503, 1626204, 1629014, 1629642]",2
1610612761,"[1627783, 1627832, 1628384, 1629018, 1630567]",1610612757,"[203081, 203468, 203496, 203994, 1626181]",3
1610612761,"[203920, 1628384, 1629004, 1630201, 1630567]",1610612757,"[203081, 203468, 203503, 1626204, 1629642]",4
